text,pred_label
its a good assessment Apps but still need little improvement to be perfect one.,0
Not fit for purpose. Like a bad computer game marketing itself as a psychometric test.,0
Happy,1
"Remote Desktop is useless. My Samsung A50 is full screen landscape but no keyboard is available. And while testing with my ASUS gaming laptop open in front of when I was able the press the Windows key, after a long time the menu popped out on the phone screen but the laptop showed no such thing. So not really Remote Desktop.",0
NICE,1
A different way to be assessed,1
Ok,1
Interesting approach!,1
"Not connecting or sharing data ,pls improve",1
Rashes Singh,1
"This works fine for me.. a good double game to while away a free minutes. Good as multiplayer too. Only negative is that some hints require watching an add, which would be fine if some of the videos weren't longer than the timer you have left to guess the word.",1
Your sales team deserve a big raise. This app is a scam 😂,0
It was ok,1
Removed all but one complication. Dick move. Uninstalled.,0
👎🏻,0
"I do not feel that a task like this is an accurate reflection of how I would perform in a professional environment or reflect anybodies skillset at all. It was simply memory and hand eye coordination, this does not reflect how people may interact with potential clients or how they would manage their work load in the slightest. This is akin to the personality tests that are popular currently. Whilst something a bit different the fact is that different is not always better or good.",0
Stupid app. I passed all the test and still got rejected. Shove this app up ya back side where the sun dont shine. Especially to the Capita company. Capita ur full of BS..!!!!!!!!!,0
Uuu,0
So wonderful,1
Very enjoyable,1
What is this? This doesn't test anything. It's utter luck. I'm not the type that stays on phone to play a 2 yr old child game. Where are we going with all these digital age things... Frustrating!!!,0
Worst app ever,0
It was fun and cannot be cheated which probably makes this good for employers. Hopefully the results are positive. On the lightbulb and gears test and shapes/numbers test my phone wouldn't react to my touch as my room was cold (cold fingers). This heavily impacted my results so I'd recommend a really good device and a warm room!,0
Can't send anything after updation.,0
Lock screen wall paper not working,0
Gorjila,1
Clear and user friendly.,1
Useless app,0
"Very good way of assessing you, as it engages all types of people, I found it enjoyable",1
Boladi,1
"The only reason I'm not giving 5 stars is that -although I knew it- I was part of an experiment. Thus, interesting but cautious on whether it was a good decision to let any corporation have that kind of data.",1
"Seems a strange way to test ability to do a particular type of work, more aimed at lightning fast visual reactions.",1
"While the concept is good, the tasks are inane and often patternless, leading to massive frustration, or impossible. The sound and visual design is irritating and distracting.",0
"Useless, need too many unnecessary permissions",0
"I got 10,381 I believe this is a relatively high score. Much of the game seems to be based on testing your reaction speed, pretty pointless. I found myself getting bored at some points and tapping randomly too.",0
Whan I was reboot the mobile at the time appear in screen your device is currupted press cotinues power button,1
How to play,1
"Don't download this game unless you enjoy watching endless ads, had to sit through 3 of them just to start playing, and the game itself is terrible as well, avoid.",0
"the experience trying to navigate my phone from my ASUS touch laptop is terrible and laggy, and there seems a unsolvable conflict between the mouse cursor and your actual touching points, and where is the ""live real person call assistant"" AS SHOWN IN THE WELCOME ICON of MyASUS..???",0
Interactive,1
"Cannot conect this app with my huawei p9 i try all sorts of ways, just stack on that front page where says conect.",0
Please try to give more information with out payment,1
Good experience in the field of digital game,1
Dhamnas Dkf Kgj🥳,1
I like nagin 3 actors and actress app 🤩🤩🤩🤩🤩,1
It's always failed to transfer file from PC to Phone!,0
Can't scan my BARR CODE and I don't have a pairing Code either why do I have to battle so much SEND ME THE PAIRING CODE PLEASE !!!!,0
"Nice games, but I would definitely not recommend it for having it as a screening test for job applications.",0
Very good experience,1
"Fun but terrifying! The games itself doesn't feel like a tedious assement however my results are nothing like how I approach my work, it makes me sounds impulsive and emotional which isn't me at all, it's terrifying to think that from a few games this inaccurate representation of me is going to be used to see if I'm right for a job. Thanks but no thanks, feel like I've lost all chances of getting this job.",0
Controls are bad. Crashing some times.,0
"Government has had its pants pulled down by this developer. Awful app and waste of taxpayer money. The faces game is embarrassingly bad, borderline racist. Lever game broken. Balloons game has balloons popping with no clear reason why. Fingerprint game lags to the point where it's dumb luck. A real 'hey fellow kids!' travesty. Unbelievable that someone made this and thought it was a good idea.",0
some sounds take alot of time to work,0
"So far I will go with only one thing as I haven't time to go carefully trough, wich is extremely confusing not gonna point on neuroscience but obviously has a lot to do with ... I dont understand how one can reach a 1000 points in a lavel obviously highest and get the opposite results as very unskilled on the matter like points 2 ?",0
Lots of fun but you need to persevere and be determined!,1
How do i get an account in the game?,1
"Before anyone plays, if you dont open the safe then you ain't getting in.. gg..",1
Easy to use,1
Never connects with my laptop,0
Fun and exciting. It was unique.,1
I want to video call with Surbhi Jyoti please help me,0
"Please remove notification count, it used to be perfect",1
"I found this assessment really interesting. I usually don't paly video games but this assessment was really exciting and I felt some unknown force was pushing me to get the good score, enjoyed it throughout 👍",1
A lot of the levels seem to be based on luck making the game incredibly frustrating since it's assessing you. Similarly a lot of games are based one reaction time so if your phone screen has a delay like mine then you are screwed.,0
"A very different approach! I would be fascinated to see the outcome of the assessment. It certainly isn't the predictable, mundane multiple choice questionnaire that generates an outcome the applicant thinks the recruiter wants to hear! A real test of patience and determination. How do you handle repitition and doing the same thing over and over again? Can you maintain focus? At what point do you quit? Excellent!",1
It was a first time for me very challenging but I got through it,1
2000 Khan,1
Can't connect my smartphone with my Asus pc anymore.,0
Worst app not work as mentioned.,0
"Absolutely loved it. Very fun and challenging, it gets fustrating at some points but just shake it off and keep at it, never give up. If you want a challenge, this be the one.",1
"Cannot link my cell phone, cannot add my cell phone number on my profile on the website. If I could give less than 1 star, I would",0
good game,1
DePho,1
Good☺,0
"I have tried to use the AP however I dont have loggin details,anymore so not able to practice on the ap please can you advise thank you in advance.",0
Updated my laptop yesterday and was forced to use this app whilst using the webcam. The app hasn't worked at all and I've been left irritated and without webcam functionality.,0
"Lever game is hard to play as you don't know how many goes you get at it, which means harder to make a strategy for a better score. The tablet selling one it isn't clear what the goal is, to make money for your team or for the company? Could be clearer. Unless that's the point. If score doesn't matter and just for fun the app should specify at start. Face game some of the expressions are near identical, and many can be wrongly allocated neutral before you see other images of the same character",1
"Looks like a scam to get peoples data, asking people to download through a survey site, the link and app do not work, and payment not given unless can complete a process in an app that doesnt work. 1/10 stars - they get 1 for being imaginative.",1
"I think it was entertaining for the most part. The last task proved impossible, for me at least. Very different, I appreciate the effort that had clearly gone into making this app. Well done",1
A great change from the usual biometric type paper tests. Fun & engaging with catchy graphics all wrapped up in a series of fiendish & challenging 'puzzles' which test you to the max. A nice way to pass over an hour especially if it helps with getting your job. Thanks!!,1
"Not what I was hoping for, first test was copying and pasting a curry recipe. I wanted to double it and it did. However just doubling up on spices when making something like a curry doesn't work like that. The other functions you can find on free websites, its handy but it's just a calculator",0
Super game fantastic,1
"Useless. Device pairing with laptop never works. Help and step by step guide don't fix anything. Waste of time, find other ways to transfer your files.",0
Doesn't detect my RoG laptop despite enabling all permissions and connecting to the same Wifi network. Completely useless.,0
Great for the beginner chemist,1
Awful,0
How do I login?,1
"Nothing like the pictures. The NEON glow is much much thicker and is not configurable at all, you can only have it removed or shown. The numbers are really tiny in digital mode, even if I remove the ""neon"" around it",0
"""Please select device name from list on you pc"" ... What list??? Edit after dev response: I really do have another Bluetooth device connected-my headphones. If having any device connected to the pc in addition to the phone ruins the app's connection then you should rethink about how it should work in the first place. My phone is 'connected' in my pc Bluetooth menu and the phone app still asks me to click on my phone name- that does nothing btw",1
"Ridiculous won't let me put In password, doesn't work properly and is an inaccurate representation",0
Just came across while I was applying for job .. sometimes it's not humanly possible .. but given that it tests your limits. Overall it was a good experience. And a great challenge,1
"This app have very serious security issue, that for screen sharing it is recording our screen continuously, even if we don't casting our mobile screen to laptop",0
I connected my pc with my phone's hotspot and it says devices are not connected on same wifi even other app can work,0
"Total rubbish, this app has costed me multiple jobs even through I have years off experience needed for that job. So I wanted to say thanks for ruining my life can believe that hmps uses this rubbish app to sort out candidates.",0
Shared cam used to work. Now i can only use mirror and extend with my phone,0
I brought it down cause you guys forcing to use the location. Once you change that i will bump up the starts. Thank you,1
Extremely buggy app.,1
Total rubbish will not connect to my laptop at all.,0
